node_id,sender,asn,time,channel,is_eb
9460,05-43-32-ff-03-dd-85-61 (64b),0x000001871c,2017-09-02 11:28:24.938741,24,1
8961,05-43-32-ff-03-dd-85-61 (64b),0x000001871c,2017-09-02 11:28:24.94483,24,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001871c,2017-09-02 11:28:24.945449,24,1
3587,05-43-32-ff-03-dd-85-61 (64b),0x000001871c,2017-09-02 11:28:25.003581,24,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000187c5,2017-09-02 11:28:27.630406,15,1
2887,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.906818,25,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.919144,25,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.920673,25,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.975474,25,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.979859,25,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.980443,25,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.98285,25,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x00000187e6,2017-09-02 11:28:27.983469,25,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000188b0,2017-09-02 11:28:30.835475,16,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001899c,2017-09-02 11:28:34.375464,24,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000018a23,2017-09-02 11:28:36.716578,18,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000018acb,2017-09-02 11:28:38.986882,13,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000018b0e,2017-09-02 11:28:39.986859,20,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000018b52,2017-09-02 11:28:41.274417,23,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000018cc4,2017-09-02 11:28:46.703463,26,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000018d07,2017-09-02 11:28:47.871475,22,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.102456,11,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.235474,11,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.236156,11,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.236757,11,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.241075,11,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000018d29,2017-09-02 11:28:48.306328,11,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000018d8e,2017-09-02 11:28:49.747511,20,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000018db0,2017-09-02 11:28:50.455473,16,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000018dd1,2017-09-02 11:28:50.988084,17,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000018e7a,2017-09-02 11:28:53.426823,12,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000018ebd,2017-09-02 11:28:54.176409,14,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000018edf,2017-09-02 11:28:54.892551,21,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000018f65,2017-09-02 11:28:56.862979,15,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000018fa9,2017-09-02 11:28:57.98658,11,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000018fca,2017-09-02 11:28:58.336275,12,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001900e,2017-09-02 11:28:59.419472,20,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001902f,2017-09-02 11:28:59.751548,21,1
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000019051,2017-09-02 11:29:00.263472,17,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000019094,2017-09-02 11:29:01.326361,26,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.728269,25,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.790068,25,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.790146,25,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.84347,25,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.872248,25,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.89431,25,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.91448,25,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x00000190b6,2017-09-02 11:29:01.923436,25,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000191e5,2017-09-02 11:29:06.335465,15,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000019228,2017-09-02 11:29:07.292397,19,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001926c,2017-09-02 11:29:08.562501,24,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.927466,14,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.928176,14,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.939472,14,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.989257,14,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.99652,14,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:08.999465,14,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:09.000991,14,0
9460,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:09.06698,14,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x000001928d,2017-09-02 11:29:09.068592,14,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000192d1,2017-09-02 11:29:10.203721,17,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000192f2,2017-09-02 11:29:10.611477,23,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000019336,2017-09-02 11:29:11.7148,25,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000019400,2017-09-02 11:29:14.644543,16,0
8561,05-43-32-ff-04-da-28-87 (64b),0x0000019421,2017-09-02 11:29:15.120244,17,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000019465,2017-09-02 11:29:16.106859,15,1
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.460256,25,1
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.590838,25,1
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.593923,25,1
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.600721,25,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.604427,25,1
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.607442,25,1
a150,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.660385,25,1
2087,05-43-32-ff-03-dd-85-61 (64b),0x0000019486,2017-09-02 11:29:16.6644,25,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001950d,2017-09-02 11:29:18.548502,14,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001952f,2017-09-02 11:29:19.203467,21,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x00000195b5,2017-09-02 11:29:20.988061,15,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000196a1,2017-09-02 11:29:24.562514,17,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x00000196e4,2017-09-02 11:29:25.703464,26,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000019749,2017-09-02 11:29:27.222835,11,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x000001976b,2017-09-02 11:29:27.550326,13,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x00000197ae,2017-09-02 11:29:28.817046,20,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000197d0,2017-09-02 11:29:29.07435,16,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000197f2,2017-09-02 11:29:29.836548,23,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000019942,2017-09-02 11:29:34.803501,23,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x00000199c9,2017-09-02 11:29:36.724313,11,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000019a50,2017-09-02 11:29:39.071475,16,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000019b5d,2017-09-02 11:29:42.923467,14,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000019b7f,2017-09-02 11:29:43.612286,21,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000019bc2,2017-09-02 11:29:44.308275,23,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000019be4,2017-09-02 11:29:45.15147,26,0
8561,05-43-32-ff-04-da-28-87 (64b),0x0000019c27,2017-09-02 11:29:45.840547,22,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.368246,21,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.464553,21,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.476453,21,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.506006,21,0
