node_id,destination,asn,time,ack,tx,channel
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002b66,2017-09-02 11:06:05.848563,1,1,25
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000002bd6,2017-09-02 11:06:07.487472,1,3,19
a150,05-43-32-ff-03-dd-85-61 (64b),0x0000002bec,2017-09-02 11:06:07.818887,1,2,24
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002c34,2017-09-02 11:06:08.935548,1,1,25
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000002c30,2017-09-02 11:06:08.959465,0,4,16
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000002c51,2017-09-02 11:06:09.344287,0,4,17
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002c99,2017-09-02 11:06:10.407475,1,1,13
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002cfe,2017-09-02 11:06:11.978891,1,2,16
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000002cff,2017-09-02 11:06:12.112246,1,2,17
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002d00,2017-09-02 11:06:12.242311,1,1,23
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000002d80,2017-09-02 11:06:13.843472,1,2,16
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000002da2,2017-09-02 11:06:14.491462,1,1,23
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002dc8,2017-09-02 11:06:15.016299,1,1,12
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000002dcb,2017-09-02 11:06:15.148258,1,2,14
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002dcc,2017-09-02 11:06:15.279463,1,1,20
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000002dcd,2017-09-02 11:06:15.411464,1,1,21
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002e2d,2017-09-02 11:06:16.48408,1,1,21
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002e33,2017-09-02 11:06:16.700318,1,1,15
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002e92,2017-09-02 11:06:18.188255,1,1,26
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000002efe,2017-09-02 11:06:19.470513,1,2,16
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002f5c,2017-09-02 11:06:21.095469,1,1,20
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000002f5d,2017-09-02 11:06:21.224245,1,1,21
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002fc3,2017-09-02 11:06:22.563564,1,3,15
8561,05-43-32-ff-04-da-28-87 (64b),0x000000302a,2017-09-02 11:06:24.083472,1,1,24
8561,05-43-32-ff-04-dd-35-87 (64b),0x000000308e,2017-09-02 11:06:25.723473,1,3,16
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000003090,2017-09-02 11:06:25.870318,1,1,23
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000030f7,2017-09-02 11:06:27.120602,1,1,11
8561,05-43-32-ff-03-da-a1-50 (64b),0x000000315b,2017-09-02 11:06:28.767472,1,3,14
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000031ba,2017-09-02 11:06:30.162911,1,1,24
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000003220,2017-09-02 11:06:31.803472,1,1,23
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000003286,2017-09-02 11:06:33.402347,1,1,19
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000003287,2017-09-02 11:06:33.528248,1,1,11
8561,05-43-32-ff-04-da-28-87 (64b),0x00000032ed,2017-09-02 11:06:34.988267,1,1,21
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000003353,2017-09-02 11:06:36.178928,1,1,15
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000003354,2017-09-02 11:06:36.355466,1,1,25
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000033ba,2017-09-02 11:06:38.024256,1,1,24
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000000347d,2017-09-02 11:06:40.875466,1,2,21
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000034e3,2017-09-02 11:06:42.531463,1,2,15
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000034e4,2017-09-02 11:06:42.70455,1,1,25
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000003543,2017-09-02 11:06:43.886881,1,1,18
8561,05-43-32-ff-04-da-28-87 (64b),0x00000035b0,2017-09-02 11:06:45.356327,1,2,23
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000035eb,2017-09-02 11:06:46.196267,1,2,13
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000003617,2017-09-02 11:06:46.876318,1,2,11
8561,05-43-32-ff-03-d9-89-61 (64b),0x000000367d,2017-09-02 11:06:48.395472,1,3,21
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000003740,2017-09-02 11:06:51.399465,1,2,23
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000037a6,2017-09-02 11:06:53.075466,1,1,19
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000037a7,2017-09-02 11:06:53.220268,1,1,11
8561,05-43-32-ff-04-dd-35-87 (64b),0x000000380d,2017-09-02 11:06:54.703478,1,1,21
8561,05-43-32-ff-04-da-28-87 (64b),0x0000003873,2017-09-02 11:06:56.004544,1,1,15
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000003874,2017-09-02 11:06:56.210332,1,1,25
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000038da,2017-09-02 11:06:57.678565,1,1,24
9460,05-43-32-ff-03-dd-85-61 (64b),0x0000003935,2017-09-02 11:06:59.162948,1,1,15
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000003939,2017-09-02 11:06:59.179468,1,1,13
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000003940,2017-09-02 11:06:59.330322,1,2,23
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000003956,2017-09-02 11:06:59.452258,1,2,25
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000003978,2017-09-02 11:06:59.871474,1,1,19
